min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.70,2.69,6.50,2.02,4.15,1,1,1,1,1,1,0.50,6.50,1.04,3.10,0,0
2,1.70,2.69,6.50,2.02,4.15,1,1,1,1,1,1,0.50,6.50,1.04,3.10,0,0
3,1.70,2.69,6.50,2.02,4.15,1,1,1,1.50,1.46,2.42,1,1,1,3.10,0,1
4,1.70,2.69,6.50,1.26,14,1,1,1,2.50,1.46,2.42,1.50,7.00,1.03,5.00,0,1
5,1.70,2.69,6.50,1.26,14,1,1,1,2.50,1.46,2.42,1.50,7.00,1.03,5.00,0,1
6,1.70,2.69,6.50,1.26,14,1,1,1,2.50,1.45,2.46,1.50,7.00,1.03,5.00,0,1
7,1.70,2.69,6.50,1.33,10.5,0.50,2.30,1.51,2.50,1.40,2.62,1,1,1,4.65,0,1
8,1.70,2.69,6.50,1.33,10.5,0.50,2.28,1.52,2.50,1.39,2.66,1,1,1,4.65,0,1
9,1.70,2.69,6.50,1.33,11,0.50,2.26,1.53,2.50,1.38,2.70,1,1,1,4.65,0,1
10,1.70,2.69,6.50,1.33,11,0.50,2.23,1.54,2.50,1.37,2.74,1,1,1,4.60,0,1
11,1.70,2.69,6.50,1.33,11,0.50,2.21,1.55,2.50,1.36,2.78,1,1,1,4.60,0,1
12,1.70,2.69,6.50,1.33,11,0.50,2.18,1.56,2.50,1.35,2.81,1,1,1,4.60,0,1
13,1.70,2.69,6.50,1.33,11,0.50,2.16,1.57,2.50,1.34,2.85,1,1,1,4.60,0,1
14,1.70,2.69,6.50,1.32,11,0.50,2.14,1.58,2.50,1.33,2.89,1,1,1,4.60,0,1
15,1.70,2.69,6.50,1.33,11.5,0.50,2.12,1.60,2.50,1.33,2.93,1,1,1,4.60,0,1
16,1.70,2.69,6.50,1.32,12,0.50,2.09,1.61,2.50,1.32,2.97,1,1,1,4.60,0,1
17,1.70,2.69,6.50,1.32,12,0.50,2.07,1.62,2.50,1.31,3.00,1,1,1,4.60,0,1
18,1.70,2.69,6.50,1.32,12,0.50,2.05,1.63,2.50,1.30,3.05,1,1,1,4.60,0,1
19,1.70,2.69,6.50,1.32,12,0.50,2.03,1.65,2.50,1.28,3.10,1,1,1,4.55,0,1
20,1.70,2.69,6.50,1.37,13.09,0.50,2.01,1.66,2.50,1.27,3.15,1,1,1,4.76,0,1
21,1.70,2.69,6.50,1.32,12,0.50,1.98,1.67,2.50,1.27,3.20,1,1,1,4.55,0,1
22,1.70,2.69,6.50,1.31,12,0.50,1.96,1.69,2.50,1.25,3.30,1,1,1,4.55,0,1
23,1.70,2.69,6.50,1.31,13,0.50,1.94,1.71,2.50,1.24,3.35,1,1,1,4.55,0,1
24,1.70,2.69,6.50,1.31,13,0.50,1.92,1.72,1.50,2.44,1.46,1,1,1,4.55,0,1
25,1.70,2.69,6.50,1.31,13,0.50,1.90,1.74,1.50,2.40,1.47,1,1,1,4.50,0,1
26,1.70,2.69,6.50,1.31,13,0.50,1.88,1.75,1.50,2.37,1.48,1,1,1,4.50,0,1
27,1.70,2.69,6.50,1.31,13,0.50,1.86,1.77,1.50,2.34,1.49,1,1,1,4.50,0,1
28,1.70,2.69,6.50,1.30,14,0.50,1.84,1.79,1.50,2.31,1.51,1,1,1,4.50,0,1
29,1.70,2.69,6.50,1.30,14,0.50,1.82,1.81,1.50,2.28,1.52,1,1,1,4.50,0,1
30,1.70,2.69,6.50,1.30,14,0.50,1.80,1.83,1.50,2.24,1.53,1,1,1,4.50,0,1
31,1.70,2.69,6.50,1.30,14,0.50,1.78,1.85,1.50,2.22,1.55,1,1,1,4.50,0,1
32,1.70,2.69,6.50,1.31,13,0.50,1.81,1.81,1.50,2.18,1.56,1,1,1,4.40,0,1
33,1.70,2.69,6.50,1.31,14,0.50,1.79,1.84,1.50,2.15,1.58,1,1,1,4.40,0,1
34,1.70,2.69,6.50,1.28,16,0.50,1.72,1.92,1.50,2.18,1.56,1,1,1,4.60,0,1
35,1.70,2.69,6.50,1.28,16,0.50,1.71,1.94,1.50,2.15,1.58,1,1,1,4.60,0,1
36,1.70,2.69,6.50,1.28,17,0.50,1.69,1.96,1.50,2.12,1.60,1,1,1,4.60,0,1
37,1.70,2.69,6.50,1.28,17,0.50,1.67,1.98,1.50,2.09,1.61,1,1,1,4.60,0,1
38,1.70,2.69,6.50,1.27,17,0.50,1.66,2.01,1.50,2.06,1.63,1,1,1,4.60,0,1
39,1.70,2.69,6.50,2.60,4.00,1.50,1.64,2.04,1.50,2.03,1.64,3.50,1.52,2.27,2.36,1,1
40,1.70,2.69,6.50,2.71,4.16,1.50,1.62,2.07,1.50,2.00,1.66,3.50,1.50,2.32,2.42,1,1
41,1.70,2.69,6.50,2.64,4.00,1.50,1.61,2.10,1.50,1.97,1.68,3.50,1.48,2.37,2.31,1,1
42,1.70,2.69,6.50,2.66,4.05,1.50,1.59,2.13,1.50,1.94,1.71,3.50,1.46,2.43,2.28,1,1
43,1.70,2.69,6.50,2.69,4.05,1.50,1.58,2.15,1.50,1.92,1.72,3.50,1.45,2.48,2.26,1,1
44,1.70,2.69,6.50,9.00,1.50,2.50,1.56,2.18,1.50,1.89,1.75,4.50,1.43,2.53,3.50,2,1
45,1.70,2.69,6.50,7.00,1.61,2.50,1.58,2.15,1.50,2.16,1.57,4.50,1.54,2.23,3.30,2,1
46,1.70,2.69,6.50,7.00,1.61,2.50,1.56,2.18,1.50,2.12,1.59,4.50,1.52,2.28,3.30,2,1
47,1.70,2.69,6.50,7.00,1.60,2.50,1.55,2.22,1.50,2.09,1.61,4.50,1.50,2.33,3.30,2,1
48,1.70,2.69,6.50,7.50,1.59,2.50,1.53,2.26,1.50,2.05,1.63,4.50,1.47,2.40,3.30,2,1
49,1.70,2.69,6.50,7.50,1.58,2.50,1.51,2.29,1.50,2.02,1.65,4.50,1.45,2.45,3.30,2,1
50,1.70,2.69,6.50,8.00,1.57,2.50,1.50,2.33,1.50,1.98,1.68,4.50,1.43,2.53,3.30,2,1
51,1.70,2.69,6.50,8.00,1.56,2.50,1.48,2.37,1.50,1.94,1.71,4.50,1.41,2.60,3.35,2,1
52,1.70,2.69,6.50,8.50,1.54,2.50,1.47,2.42,1.50,1.91,1.73,4.50,1.39,2.67,3.35,2,1
53,1.70,2.69,6.50,8.50,1.53,2.50,1.45,2.45,1.50,1.88,1.76,4.50,1.37,2.74,3.35,2,1
54,1.70,2.69,6.50,9.00,1.52,2.50,1.44,2.50,1.50,1.84,1.79,4.50,1.35,2.83,3.35,2,1
55,1.70,2.69,6.50,9.50,1.51,2.50,1.42,2.55,1.50,1.81,1.82,4.50,1.33,2.92,3.35,2,1
56,1.70,2.69,6.50,9.50,1.50,2.50,1.41,2.60,1.50,1.78,1.85,3.50,2.73,1.37,3.40,2,1
57,1.70,2.69,6.50,10,1.49,2.50,1.40,2.65,1.50,1.75,1.88,3.50,2.67,1.39,3.40,2,1
58,1.70,2.69,6.50,10.5,1.48,2.50,1.38,2.70,1.50,1.72,1.92,3.50,2.60,1.41,3.40,2,1
59,1.70,2.69,6.50,11,1.47,2.50,1.37,2.75,1.50,1.69,1.96,3.50,2.53,1.43,3.45,2,1
60,1.70,2.69,6.50,12.07,1.51,2.50,1.35,2.81,1.50,1.67,2.00,3.50,2.46,1.45,3.61,2,1
61,1.70,2.69,6.50,12,1.45,2.50,1.34,2.88,1.50,1.64,2.04,3.50,2.40,1.47,3.50,2,1
62,1.70,2.69,6.50,12,1.44,2.50,1.32,2.94,1.50,1.61,2.09,3.50,2.33,1.50,3.50,2,1
63,1.70,2.69,6.50,13,1.43,2.50,1.31,3.00,1.50,1.58,2.14,3.50,2.26,1.53,3.50,2,1
64,1.70,2.69,6.50,14,1.42,2.50,1.29,3.05,1.50,1.56,2.19,3.50,2.20,1.55,3.55,2,1
65,1.70,2.69,6.50,14,1.40,2.50,1.28,3.15,1.50,1.53,2.25,3.50,2.13,1.59,3.60,2,1
66,1.70,2.69,6.50,15,1.39,2.50,1.26,3.25,1.50,1.51,2.31,3.50,2.07,1.62,3.60,2,1
67,1.70,2.69,6.50,16,1.38,2.50,1.25,3.30,1.50,1.48,2.37,3.50,2.02,1.65,3.70,2,1
68,1.70,2.69,6.50,17,1.36,2.50,1.23,3.40,1.50,1.46,2.43,3.50,1.96,1.69,3.70,2,1
69,1.70,2.69,6.50,18,1.35,2.50,1.22,3.50,1.50,1.44,2.51,3.50,1.90,1.74,3.75,2,1
70,1.70,2.69,6.50,20,1.34,2.50,1.20,3.65,1.50,1.41,2.58,3.50,1.85,1.78,3.80,2,1
71,1.70,2.69,6.50,21,1.33,2.50,1.19,3.75,1.50,1.39,2.65,3.50,1.80,1.83,3.90,2,1
72,1.70,2.69,6.50,23,1.31,2.50,1.17,3.90,1.50,1.37,2.74,3.50,1.75,1.89,3.90,2,1
73,1.70,2.69,6.50,25,1.30,2.50,1.16,4.05,1.50,1.35,2.83,3.50,1.70,1.95,4.00,2,1
74,1.70,2.69,6.50,28,1.28,2.50,1.14,4.20,1.50,1.32,2.94,3.50,1.65,2.02,4.10,2,1
75,1.70,2.69,6.50,31,1.27,2.50,1.13,4.35,1.50,1.30,3.00,3.50,1.61,2.09,4.20,2,1
76,1.70,2.69,6.50,35,1.25,2.50,1.12,4.60,1.50,1.28,3.15,3.50,1.56,2.18,4.30,2,1
77,1.70,2.69,6.50,40,1.24,2.50,1.10,4.80,1.50,1.25,3.30,3.50,1.52,2.27,4.40,2,1
78,1.70,2.69,6.50,46,1.22,2.50,1.09,5.00,1.50,1.23,3.45,3.50,1.48,2.37,4.50,2,1
79,1.70,2.69,6.50,52,1.21,2.50,1.08,5.00,1.50,1.21,3.60,3.50,1.45,2.48,4.70,2,1
