min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,2.50,1.04,6.50,1,1,1,3.50,1.18,3.80,1,0,0
2,1,1,1,1,1,2.50,1.04,6.50,1,1,1,3.50,1.18,3.80,1,0,0
3,1,1,1,1,1,2.50,1.04,6.50,1,1,1,3.50,1.18,3.80,1,0,0
4,1,1,1,1,1,2.50,1.04,6.50,1,1,1,3.50,1.18,3.80,1,0,0
5,1,1,1,1,1,2.50,1.04,6.50,1,1,1,3.50,1.18,3.80,1,0,0
6,1,1,1,1,1,2.50,1.04,6.50,1,1,1,3.50,1.17,3.90,1,0,0
7,1.96,2.07,8.50,2.56,2.81,1.50,1.39,2.66,1.50,1.44,2.50,1,1,1,3.15,0,0
8,1.96,2.07,8.50,2.58,2.82,1.50,1.38,2.70,1.50,1.43,2.53,1,1,1,3.15,0,0
9,1.97,2.08,8.00,2.59,2.83,1.50,1.37,2.74,1.50,1.42,2.57,1,1,1,3.15,0,0
10,1.97,2.09,8.00,2.60,2.84,1.50,1.36,2.78,1.50,1.41,2.60,1,1,1,3.10,0,0
11,1.98,2.09,8.00,2.61,2.85,1.50,1.35,2.81,1.50,1.40,2.64,1,1,1,3.10,0,0
12,1.99,2.10,7.50,2.62,2.86,0.50,2.83,1.35,1.50,1.39,2.68,1,1,1,3.10,0,0
13,1.99,2.10,7.50,2.63,2.86,0.50,2.81,1.35,1.50,1.38,2.71,1,1,1,3.05,0,0
14,2.00,2.11,7.50,2.65,2.87,0.50,2.78,1.36,1.50,1.37,2.75,1,1,1,3.05,0,0
15,2.00,2.12,7.00,2.65,2.88,0.50,2.74,1.37,1.50,1.36,2.79,1,1,1,3.00,0,0
16,2.01,2.12,7.00,2.65,2.90,0.50,2.70,1.38,1.50,1.35,2.83,1,1,1,3.00,0,0
17,2.02,2.13,7.00,2.66,2.90,0.50,2.66,1.39,1.50,1.34,2.87,1,1,1,3.00,0,0
18,2.02,2.14,6.50,2.67,2.91,0.50,2.62,1.40,1.50,1.33,2.91,1,1,1,2.98,0,0
19,2.03,2.15,6.50,2.68,2.93,0.50,2.59,1.41,1.50,1.32,2.95,1,1,1,2.97,0,0
20,2.20,2.32,7.44,2.79,3.04,0.50,2.55,1.42,1.50,1.31,3.00,1,1,1,3.05,0,0
21,2.05,2.16,6.00,2.69,2.94,0.50,2.52,1.43,0.50,2.67,1.39,1.50,2.32,1.50,2.91,0,0
22,2.05,2.16,6.00,6.00,1.49,1.50,2.48,1.45,0.50,2.62,1.40,1,1,1,4.30,1,0
23,2.05,2.16,6.00,6.00,1.55,1.50,2.28,1.52,0.50,2.68,1.39,1,1,1,4.05,1,0
24,2.05,2.16,6.00,6.00,1.55,1.50,2.26,1.53,0.50,2.65,1.40,1,1,1,4.05,1,0
25,2.05,2.16,6.00,6.00,1.54,1.50,2.23,1.54,0.50,2.60,1.41,1,1,1,4.05,1,0
26,2.05,2.16,6.00,6.00,1.54,1.50,2.19,1.56,0.50,2.56,1.42,1,1,1,4.00,1,0
27,2.05,2.16,6.00,6.00,1.53,1.50,2.17,1.57,0.50,2.53,1.43,1,1,1,4.00,1,0
28,2.05,2.16,6.00,6.00,1.52,1.50,2.14,1.58,0.50,2.49,1.44,1,1,1,4.00,1,0
29,2.05,2.16,6.00,6.00,1.52,1.50,2.12,1.60,0.50,2.45,1.46,1,1,1,4.00,1,0
30,2.05,2.16,6.00,6.50,1.52,1.50,2.09,1.61,0.50,2.42,1.47,1,1,1,4.00,1,0
31,2.05,2.16,6.00,5.50,1.62,1.50,1.92,1.72,0.50,2.55,1.42,1,1,1,3.75,1,0
32,2.05,2.16,6.00,5.50,1.61,1.50,1.89,1.74,0.50,2.51,1.43,1,1,1,3.75,1,0
33,2.05,2.16,6.00,5.50,1.60,1.50,1.87,1.76,0.50,2.47,1.45,1,1,1,3.75,1,0
34,2.05,2.16,6.00,6.00,1.60,1.50,1.85,1.78,0.50,2.43,1.46,1,1,1,3.75,1,0
35,2.05,2.16,6.00,6.00,1.59,1.50,1.83,1.80,0.50,2.40,1.47,1,1,1,3.75,1,0
36,2.05,2.16,6.00,6.00,1.58,1.50,1.80,1.83,0.50,2.35,1.49,1,1,1,3.70,1,0
37,2.05,2.16,6.00,6.00,1.57,1.50,1.78,1.85,0.50,2.32,1.50,1,1,1,3.70,1,0
38,2.05,2.16,6.00,6.00,1.57,1.50,1.76,1.87,0.50,2.28,1.52,1,1,1,3.70,1,0
39,2.05,2.16,6.00,6.50,1.56,1.50,1.74,1.90,0.50,2.24,1.53,1,1,1,3.70,1,0
40,2.05,2.16,6.00,7.02,1.61,1.50,1.72,1.92,0.50,2.21,1.55,1,1,1,3.88,1,0
41,2.05,2.16,6.00,6.50,1.55,1.50,1.70,1.95,0.50,2.17,1.57,1,1,1,3.70,1,0
42,2.05,2.16,6.00,7.00,1.54,1.50,1.68,1.97,0.50,2.14,1.58,1,1,1,3.70,1,0
43,2.05,2.16,6.00,7.00,1.53,1.50,1.67,1.99,0.50,2.11,1.60,1,1,1,3.70,1,0
44,2.05,2.16,6.00,7.00,1.53,1.50,1.65,2.02,0.50,2.08,1.62,1,1,1,3.75,1,0
45,2.05,2.16,6.00,6.00,1.64,1.50,1.54,2.22,0.50,2.22,1.54,1,1,1,3.50,1,0
46,2.05,2.16,6.00,6.00,1.63,1.50,1.53,2.26,0.50,2.18,1.56,1,1,1,3.50,1,0
47,2.05,2.16,6.00,6.00,1.61,1.50,1.51,2.29,0.50,2.14,1.58,1,1,1,3.50,1,0
48,2.05,2.16,6.00,6.50,1.60,1.50,1.50,2.32,0.50,2.10,1.60,1,1,1,3.50,1,0
49,2.05,2.16,6.00,6.50,1.59,1.50,1.48,2.37,0.50,2.07,1.62,1,1,1,3.50,1,0
50,2.05,2.16,6.00,7.00,1.58,1.50,1.47,2.41,0.50,2.03,1.65,1,1,1,3.50,1,0
