min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
7,2.09,1.92,9.00,2.79,2.43,1.50,1.47,2.42,1.50,1.39,2.66,1,1,1,3.10,0,0
8,2.10,1.93,8.50,2.79,2.43,1.50,1.46,2.45,1.50,1.38,2.70,1,1,1,3.10,0,0
9,2.11,1.93,8.50,2.80,2.44,1.50,1.45,2.48,1.50,1.37,2.74,1,1,1,3.05,0,0
10,2.11,1.94,8.00,2.81,2.45,1.50,1.43,2.51,1.50,1.36,2.78,1,1,1,3.05,0,0
11,2.12,1.94,8.00,2.82,2.46,1.50,1.42,2.55,1.50,1.35,2.81,1,1,1,3.00,0,0
12,2.12,1.95,8.00,2.83,2.47,1.50,1.41,2.59,0.50,2.83,1.35,1,1,1,3.00,0,0
13,2.13,1.96,7.50,1.52,6.00,1.50,1.40,2.62,1.50,2.80,1.36,3.50,1.55,2.22,3.75,0,1
14,2.13,1.96,7.50,1.52,6.00,1.50,1.39,2.66,1.50,2.77,1.36,3.50,1.53,2.25,3.75,0,1
15,2.13,1.96,7.50,1.51,6.00,1.50,1.38,2.70,1.50,2.74,1.37,3.50,1.51,2.29,3.75,0,1
16,2.13,1.96,7.50,1.52,6.00,1.50,1.37,2.74,1.50,2.70,1.38,3.50,1.50,2.33,3.75,0,1
17,2.13,1.96,7.50,1.51,6.00,1.50,1.36,2.78,1.50,2.66,1.39,3.50,1.48,2.39,3.70,0,1
18,2.13,1.96,7.50,1.51,6.00,1.50,1.35,2.82,1.50,2.62,1.40,3.50,1.46,2.43,3.70,0,1
19,2.13,1.96,7.50,1.51,6.00,1.50,1.34,2.86,1.50,2.59,1.41,3.50,1.45,2.47,3.70,0,1
20,2.13,1.96,7.50,1.58,6.89,1.50,1.33,2.90,1.50,2.55,1.42,3.50,1.43,2.53,3.90,0,1
21,2.13,1.96,7.50,1.50,6.50,1.50,1.32,2.95,1.50,2.51,1.43,3.50,1.41,2.59,3.70,0,1
22,2.13,1.96,7.50,1.50,6.50,1.50,1.31,3.00,1.50,2.48,1.45,3.50,1.40,2.64,3.70,0,1
23,2.13,1.96,7.50,1.48,6.50,0.50,2.67,1.39,1.50,2.44,1.46,1,1,1,3.65,0,1
24,2.13,1.96,7.50,1.48,6.50,0.50,2.62,1.40,1.50,2.41,1.47,1,1,1,3.65,0,1
25,2.13,1.96,7.50,1.48,7.00,0.50,2.59,1.41,1.50,2.38,1.48,1,1,1,3.65,0,1
26,2.13,1.96,7.50,1.58,5.00,0.50,2.78,1.36,1.50,2.11,1.60,1,1,1,3.75,0,1
27,2.13,1.96,7.50,1.57,5.00,0.50,2.74,1.37,1.50,2.09,1.61,1,1,1,3.70,0,1
28,2.13,1.96,7.50,1.56,5.00,0.50,2.68,1.39,1.50,2.06,1.63,1,1,1,3.70,0,1
29,2.13,1.96,7.50,1.55,5.00,0.50,2.64,1.40,1.50,2.04,1.64,1,1,1,3.70,0,1
30,2.13,1.96,7.50,1.55,5.50,0.50,2.60,1.41,1.50,2.02,1.65,1,1,1,3.70,0,1
31,2.13,1.96,7.50,1.55,5.50,0.50,2.55,1.42,1.50,1.99,1.67,1,1,1,3.70,0,1
32,2.13,1.96,7.50,1.53,5.50,0.50,2.51,1.43,1.50,1.96,1.69,1,1,1,3.70,0,1
33,2.13,1.96,7.50,1.53,5.50,0.50,2.47,1.45,1.50,1.94,1.71,1,1,1,3.70,0,1
34,2.13,1.96,7.50,1.52,6.00,0.50,2.43,1.46,1.50,1.92,1.72,1,1,1,3.70,0,1
35,2.13,1.96,7.50,1.52,6.00,0.50,2.40,1.47,1.50,1.89,1.74,1,1,1,3.70,0,1
36,2.13,1.96,7.50,1.51,6.00,0.50,2.35,1.49,1.50,1.86,1.77,1,1,1,3.70,0,1
37,2.13,1.96,7.50,1.50,6.00,0.50,2.32,1.50,1.50,1.84,1.79,1,1,1,3.70,0,1
38,2.13,1.96,7.50,1.50,6.00,0.50,2.28,1.52,1.50,1.82,1.81,1,1,1,3.70,0,1
