min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,0.50,2.62,1.40,1,1,1,4.50,1.03,7.50,1,0,0
2,1,1,1,1,1,0.50,2.62,1.40,1,1,1,4.50,1.03,7.50,1,0,0
3,1,1,1,1,1,0.50,2.74,1.37,1,1,1,4.50,1.03,7.00,1,0,0
4,1.69,2.42,9.50,1.96,3.60,0.50,2.60,1.41,1.50,1.63,2.06,1,1,1,3.30,0,0
5,1.69,2.42,9.50,1.96,3.60,0.50,2.60,1.41,1.50,1.63,2.06,1,1,1,3.30,0,0
6,1.69,2.43,9.00,1.96,3.55,0.50,2.57,1.42,1.50,1.61,2.09,1,1,1,3.25,0,0
7,1.70,2.43,9.00,1.97,3.55,0.50,2.54,1.43,1.50,1.60,2.11,1,1,1,3.25,0,0
8,1.70,2.44,9.00,1.98,3.55,0.50,2.51,1.44,1.50,1.58,2.14,1,1,1,3.20,0,0
9,1.67,2.55,8.50,1.90,3.80,0.50,2.36,1.49,1.50,1.59,2.12,1,1,1,3.20,0,0
10,1.67,2.56,8.00,1.91,3.85,0.50,2.34,1.50,1.50,1.58,2.15,1,1,1,3.20,0,0
11,1.67,2.57,8.00,1.92,3.85,0.50,2.31,1.51,1.50,1.56,2.18,1,1,1,3.15,0,0
12,1.68,2.57,8.00,1.93,3.85,0.50,2.29,1.51,1.50,1.55,2.21,1,1,1,3.15,0,0
13,1.68,2.58,7.50,1.93,3.85,0.50,2.26,1.53,1.50,1.53,2.25,1,1,1,3.10,0,0
14,1.69,2.59,7.50,1.94,3.85,0.50,2.24,1.54,1.50,1.52,2.28,1,1,1,3.10,0,0
15,1.70,2.60,7.00,1.95,3.85,0.50,2.21,1.55,1.50,1.51,2.31,1,1,1,3.10,0,0
16,1.70,2.61,7.00,1.97,3.85,0.50,2.19,1.56,1.50,1.49,2.35,1,1,1,3.05,0,0
17,1.71,2.61,7.00,1.97,3.85,0.50,2.16,1.57,1.50,1.48,2.38,1,1,1,3.00,0,0
18,1.71,2.62,7.00,1.98,3.85,0.50,2.14,1.58,1.50,1.47,2.42,1.50,2.45,1.46,3.00,0,0
19,1.71,2.62,7.00,1.23,13,0.50,2.12,1.60,2.50,1.45,2.46,3.50,1.42,2.56,5.00,0,1
20,1.71,2.62,7.00,1.28,11.86,0.50,2.18,1.56,2.50,1.48,2.37,1,1,1,5.85,0,1
21,1.71,2.62,7.00,1.22,11,0.50,2.16,1.57,2.50,1.47,2.40,1,1,1,5.00,0,1
22,1.71,2.62,7.00,1.21,11,0.50,2.13,1.59,2.50,1.46,2.44,1,1,1,5.00,0,1
23,1.71,2.62,7.00,1.21,11.5,0.50,2.11,1.60,2.50,1.44,2.49,1,1,1,5.00,0,1
24,1.71,2.62,7.00,1.21,11.5,0.50,2.08,1.61,2.50,1.43,2.53,1,1,1,5.00,0,1
25,1.71,2.62,7.00,1.24,10.5,0.50,2.14,1.58,2.50,1.40,2.65,1,1,1,5.00,0,1
26,1.71,2.62,7.00,1.24,10.5,0.50,2.11,1.60,2.50,1.38,2.69,1,1,1,5.00,0,1
27,1.71,2.62,7.00,1.24,11,0.50,2.09,1.61,2.50,1.37,2.74,1,1,1,5.00,0,1
28,1.71,2.62,7.00,1.24,11,0.50,2.06,1.63,2.50,1.36,2.78,1,1,1,5.00,0,1
29,1.71,2.62,7.00,1.23,11,0.50,2.04,1.64,2.50,1.35,2.83,1,1,1,5.00,0,1
30,1.71,2.62,7.00,1.24,11,0.50,2.02,1.65,1.50,2.81,1.35,1,1,1,5.00,0,1
