min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,3.10,1.36,14,2.75,2.18,2.50,1.43,2.45,1.50,2.24,1.51,3.50,2.20,1.53,3.65,0,1
7,3.10,1.36,14,3.40,1.88,2.50,1.48,2.32,1.50,1.78,1.81,3.50,2.03,1.61,3.60,0,1
8,3.10,1.36,14,2.92,2.06,1.50,2.41,1.44,1.50,1.94,1.67,3.50,2.02,1.62,3.75,0,1
9,3.10,1.36,14,2.90,2.08,1.50,2.38,1.46,1.50,1.93,1.68,3.50,1.98,1.64,3.70,0,1
10,3.10,1.36,14,2.87,2.10,1.50,2.34,1.47,1.50,1.91,1.70,3.50,1.95,1.67,3.70,0,1
11,3.10,1.36,14,2.85,2.12,1.50,2.30,1.48,1.50,1.89,1.71,3.50,1.91,1.69,3.65,0,1
12,3.10,1.36,14,2.83,2.14,1.50,2.26,1.50,1.50,1.87,1.72,3.50,1.88,1.72,3.65,0,1
13,3.10,1.36,14,2.81,2.18,1.50,2.23,1.51,1.50,1.86,1.73,3.50,1.85,1.74,3.60,0,1
14,3.10,1.36,14,2.77,2.20,1.50,2.19,1.53,1.50,1.84,1.75,3.50,1.82,1.77,3.60,0,1
15,3.10,1.36,14,2.75,2.21,1.50,2.15,1.55,1.50,1.82,1.77,3.50,1.78,1.81,3.55,0,1
16,3.10,1.36,14,2.73,2.24,1.50,2.12,1.56,1.50,1.81,1.78,3.50,1.76,1.83,3.55,0,1
17,3.10,1.36,14,2.70,2.27,1.50,2.08,1.58,1.50,1.79,1.79,3.50,1.73,1.87,3.50,0,1
18,3.10,1.36,14,1.52,4.70,1.50,2.05,1.60,2.50,1.78,1.81,4.50,1.70,1.90,4.45,0,2
19,3.10,1.36,14,1.57,4.40,1.50,2.14,1.55,2.50,1.76,1.83,4.50,1.75,1.84,4.35,0,2
20,3.10,1.36,14,1.62,4.66,1.50,2.10,1.57,2.50,1.74,1.85,4.50,1.72,1.88,4.56,0,2
21,3.10,1.36,14,1.54,4.55,1.50,2.06,1.59,2.50,1.73,1.87,4.50,1.69,1.92,4.40,0,2
22,3.10,1.36,14,1.53,4.65,1.50,2.03,1.62,2.50,1.71,1.88,4.50,1.66,1.95,4.40,0,2
23,3.10,1.36,14,1.52,4.75,1.50,1.99,1.64,2.50,1.70,1.90,4.50,1.63,2.00,4.40,0,2
24,3.10,1.36,14,1.51,4.85,1.50,1.96,1.66,2.50,1.68,1.92,4.50,1.61,2.04,4.40,0,2
25,3.10,1.36,14,1.50,4.95,1.50,1.93,1.68,2.50,1.67,1.94,4.50,1.59,2.08,4.45,0,2
26,3.10,1.36,14,1.48,5.00,1.50,1.89,1.70,2.50,1.66,1.96,4.50,1.56,2.13,4.45,0,2
27,3.10,1.36,14,1.47,5.00,1.50,1.86,1.73,2.50,1.64,1.98,4.50,1.54,2.18,4.50,0,2
28,3.10,1.36,14,1.46,5.00,1.50,1.83,1.76,2.50,1.63,2.00,4.50,1.52,2.22,4.50,0,2
29,3.10,1.36,14,1.45,5.00,1.50,1.80,1.78,2.50,1.62,2.03,4.50,1.50,2.27,4.50,0,2
30,3.10,1.36,14,1.43,5.00,1.50,1.78,1.81,2.50,1.60,2.05,4.50,1.48,2.32,4.55,0,2
31,3.10,1.36,14,1.42,5.50,1.50,1.75,1.84,2.50,1.59,2.08,4.50,1.46,2.38,4.60,0,2
32,3.10,1.36,14,2.47,2.61,2.50,1.72,1.88,2.50,1.57,2.10,5.50,1.43,2.44,3.25,1,2
33,3.10,1.36,14,7.00,1.46,3.50,1.69,1.91,2.50,1.56,2.13,5.50,2.43,1.44,3.70,2,2
34,3.10,1.36,14,7.00,1.47,3.50,1.67,1.94,2.50,1.55,2.16,5.50,2.38,1.46,3.65,2,2
35,3.10,1.36,14,5.00,1.57,3.50,1.71,1.89,2.50,1.87,1.72,6.50,1.54,2.18,3.65,2,2
36,3.10,1.36,14,5.00,1.58,3.50,1.68,1.92,2.50,1.84,1.75,6.50,1.51,2.24,3.60,2,2
