min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1,1,1,1,1,0.50,2.78,1.36,3.50,1.07,5.00,1.50,4.85,1.10,1,0,0
6,1,1,1,1,1,0.50,2.75,1.37,3.50,1.06,5.50,1.50,4.70,1.11,1,0,0
7,1,1,1,1,1,0.50,2.72,1.38,3.50,1.06,5.50,1.50,4.60,1.12,1,0,0
8,1.49,2.72,14,1.59,4.70,0.50,2.68,1.39,1.50,2.23,1.54,1,1,1,4.00,0,0
9,1.49,2.73,14,1.60,4.70,0.50,2.65,1.40,1.50,2.19,1.56,1,1,1,3.95,0,0
10,1.49,2.73,13,1.60,4.70,0.50,2.62,1.40,1.50,2.16,1.57,1,1,1,3.95,0,0
11,1.50,2.74,13,1.61,4.70,0.50,2.58,1.41,1.50,2.13,1.59,1,1,1,3.90,0,0
12,1.50,2.74,13,1.61,4.70,0.50,2.55,1.42,1.50,2.10,1.61,1,1,1,3.85,0,0
13,1.50,2.75,12,1.61,4.70,0.50,2.52,1.43,1.50,2.07,1.62,1,1,1,3.85,0,0
14,1.51,2.81,10.5,1.64,4.75,0.50,2.30,1.51,1.50,1.88,1.75,1,1,1,3.65,0,0
15,1.52,2.82,10,1.64,4.75,0.50,2.27,1.52,1.50,1.86,1.78,1,1,1,3.60,0,0
16,1.52,2.83,10,1.65,4.70,0.50,2.25,1.53,1.50,1.83,1.80,1,1,1,3.55,0,0
17,1.53,2.84,9.50,1.65,4.70,0.50,2.22,1.54,1.50,1.81,1.82,1,1,1,3.55,0,0
18,1.53,2.84,9.50,1.66,4.75,0.50,2.19,1.56,1.50,1.78,1.85,1,1,1,3.50,0,0
19,1.53,2.85,9.00,1.67,4.70,0.50,2.17,1.57,1.50,1.76,1.87,1,1,1,3.50,0,0
20,1.62,3.04,10.46,1.77,4.99,0.50,2.15,1.58,1.50,1.74,1.90,1,1,1,3.65,0,0
21,1.52,2.91,9.00,1.65,4.95,0.50,2.12,1.59,1.50,1.78,1.85,1,1,1,3.50,0,0
22,1.52,2.92,9.00,1.65,4.90,0.50,2.10,1.61,1.50,1.75,1.88,1,1,1,3.50,0,0
23,1.53,2.93,8.50,1.66,4.90,0.50,2.07,1.62,1.50,1.73,1.91,1,1,1,3.45,0,0
24,1.53,2.94,8.50,1.67,4.90,0.50,2.05,1.63,1.50,1.70,1.95,1,1,1,3.40,0,0
25,1.54,2.95,8.00,1.68,4.90,0.50,2.03,1.65,1.50,1.68,1.97,1,1,1,3.40,0,0
26,1.54,2.96,8.00,1.69,4.90,0.50,2.00,1.66,1.50,1.66,2.01,1,1,1,3.35,0,0
27,1.55,2.97,7.50,1.70,4.90,0.50,1.98,1.68,1.50,1.64,2.04,1,1,1,3.30,0,0
28,1.55,2.98,7.50,1.70,4.90,0.50,1.95,1.70,1.50,1.62,2.07,1,1,1,3.30,0,0
29,1.56,2.99,7.00,1.71,4.90,0.50,1.93,1.71,1.50,1.60,2.11,1,1,1,3.25,0,0
30,1.57,3.00,7.00,1.72,4.90,0.50,1.91,1.73,1.50,1.58,2.15,1,1,1,3.20,0,0
