min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
2,1,1,1,1,1,1,1,1,2.50,1.07,5.00,4.50,1.06,5.50,1,0,0
3,1,1,1,1,1,1,1,1,2.50,1.07,5.00,4.50,1.06,5.50,1,0,0
4,1,1,1,1,1,1,1,1,2.50,1.07,5.00,4.50,1.06,5.50,1,0,0
5,2.09,1.81,12,2.84,2.20,1,1,1,2.50,1.07,5.00,1.50,3.95,1.17,3.40,0,0
6,2.10,1.81,12,2.86,2.22,1.50,1.67,1.98,1.50,1.49,2.35,1,1,1,3.40,0,0
7,2.10,1.82,11.5,2.87,2.22,1.50,1.66,2.01,1.50,1.48,2.38,1,1,1,3.40,0,0
8,2.11,1.82,11.5,2.88,2.22,1.50,1.64,2.03,1.50,1.47,2.42,1,1,1,3.35,0,0
9,2.11,1.82,11,2.87,2.22,1.50,1.63,2.06,1.50,1.46,2.45,1,1,1,3.35,0,0
10,2.12,1.83,11,2.87,2.24,1.50,1.61,2.09,1.50,1.45,2.48,1,1,1,3.30,0,0
11,2.08,1.82,12,2.80,2.24,1.50,1.67,2.00,1.50,1.50,2.32,1,1,1,3.40,0,0
12,2.09,1.83,11.5,2.83,2.24,1.50,1.65,2.03,1.50,1.49,2.36,1,1,1,3.40,0,0
13,2.09,1.83,11.5,2.83,2.25,1.50,1.63,2.05,1.50,1.47,2.40,1,1,1,3.35,0,0
14,2.10,1.84,11,2.84,2.25,1.50,1.61,2.09,1.50,1.46,2.43,1,1,1,3.30,0,0
15,2.08,1.83,11.5,2.82,2.26,1.50,1.64,2.04,1.50,1.48,2.37,1,1,1,3.35,0,0
16,2.09,1.84,11,2.83,2.26,1.50,1.62,2.07,1.50,1.47,2.40,1,1,1,3.35,0,0
17,2.09,1.84,11,2.83,2.26,1.50,1.60,2.10,1.50,1.46,2.44,1,1,1,3.30,0,0
18,2.10,1.85,10.5,2.83,2.27,1.50,1.59,2.13,1.50,1.45,2.47,1,1,1,3.30,0,0
19,2.10,1.85,10.5,2.84,2.28,1.50,1.57,2.16,1.50,1.43,2.51,1,1,1,3.30,0,0
20,2.23,1.96,12.04,2.98,2.40,1.50,1.55,2.20,1.50,1.42,2.55,1,1,1,3.44,0,0
21,2.12,1.86,10,2.86,2.30,1.50,1.54,2.23,1.50,1.41,2.60,1,1,1,3.25,0,0
22,2.12,1.87,9.50,2.87,2.31,1.50,1.52,2.27,1.50,1.40,2.64,1,1,1,3.20,0,0
23,2.13,1.87,9.50,2.87,2.31,1.50,1.51,2.31,1.50,1.39,2.68,1,1,1,3.20,0,0
24,2.13,1.88,9.00,2.87,2.34,1.50,1.49,2.35,1.50,1.37,2.73,1,1,1,3.15,0,0
25,2.14,1.88,9.00,2.88,2.34,1.50,1.48,2.39,1.50,1.36,2.78,1,1,1,3.15,0,0
26,2.15,1.89,8.50,2.89,2.36,1.50,1.46,2.43,1.50,1.35,2.81,1,1,1,3.10,0,0
27,2.16,1.90,8.50,2.90,2.37,1.50,1.45,2.47,1.50,1.34,2.86,1,1,1,3.10,0,0
28,2.16,1.90,8.00,2.92,2.37,1.50,1.43,2.51,0.50,2.78,1.36,1,1,1,3.05,0,0
29,2.17,1.91,8.00,2.92,2.39,1.50,1.42,2.57,0.50,2.74,1.37,1,1,1,3.05,0,0
30,2.18,1.92,7.50,2.93,2.39,1.50,1.41,2.61,0.50,2.70,1.38,1,1,1,3.00,0,0
31,2.19,1.93,7.50,2.93,2.40,1.50,1.39,2.65,0.50,2.65,1.39,1,1,1,3.00,0,0
32,2.20,1.93,7.00,2.94,2.40,1.50,1.38,2.70,0.50,2.61,1.41,1,1,1,2.99,0,0
33,2.21,1.94,7.00,2.95,2.42,1.50,1.37,2.75,0.50,2.56,1.42,1,1,1,2.96,0,0
34,2.22,1.95,7.00,2.98,2.43,1.50,1.36,2.80,0.50,2.52,1.43,1,1,1,2.94,0,0
35,2.23,1.96,6.50,2.99,2.43,0.50,2.82,1.35,0.50,2.48,1.45,1.50,2.40,1.47,2.91,0,0
36,2.24,1.97,6.00,3.00,2.45,0.50,2.78,1.36,0.50,2.43,1.46,1.50,2.35,1.49,2.88,0,0
37,2.25,1.98,6.00,3.00,2.46,0.50,2.74,1.37,0.50,2.39,1.48,1.50,2.29,1.51,2.85,0,0
38,2.26,1.99,6.00,3.00,2.47,0.50,2.68,1.39,0.50,2.35,1.49,1.50,2.24,1.54,2.83,0,0
39,2.28,2.00,5.50,3.00,2.48,0.50,2.62,1.40,0.50,2.31,1.51,1.50,2.18,1.56,2.79,0,0
40,2.41,2.13,6.35,3.20,2.63,0.50,2.57,1.42,0.50,2.28,1.52,1.50,2.13,1.59,2.90,0,0
41,2.30,2.03,5.00,3.00,2.51,0.50,2.53,1.43,0.50,2.24,1.53,1.50,2.08,1.61,2.73,0,0
42,2.32,2.04,5.00,3.05,2.53,0.50,2.48,1.45,0.50,2.21,1.55,1.50,2.03,1.64,2.70,0,0
43,2.33,2.05,5.00,3.05,2.54,0.50,2.44,1.46,0.50,2.17,1.57,1.50,1.99,1.67,2.67,0,0
44,2.35,2.07,5.00,3.05,2.55,0.50,2.39,1.48,0.50,2.13,1.59,1.50,1.94,1.70,2.64,0,0
45,2.36,2.08,4.90,3.10,2.58,0.50,2.35,1.49,0.50,2.10,1.60,1.50,1.90,1.74,2.62,0,0
46,2.38,2.10,4.75,3.10,2.60,0.50,2.31,1.51,0.50,2.07,1.62,1.50,1.86,1.77,2.59,0,0
47,2.40,2.12,4.60,3.10,2.62,0.50,2.26,1.53,0.50,2.03,1.64,1.50,1.82,1.81,2.56,0,0
48,2.42,2.14,4.40,3.15,2.63,0.50,2.22,1.55,0.50,1.99,1.67,1.50,1.78,1.85,2.52,0,0
49,2.44,2.15,4.30,3.15,2.65,0.50,2.17,1.57,0.50,1.96,1.69,1.50,1.74,1.90,2.49,0,0
50,2.46,2.17,4.15,3.20,2.66,0.50,2.13,1.59,0.50,1.92,1.72,1.50,1.70,1.95,2.46,0,0
51,2.48,2.19,4.00,3.20,2.70,0.50,2.10,1.61,0.50,1.90,1.74,1.50,1.67,1.99,2.43,0,0
52,2.51,2.21,3.90,3.20,2.72,0.50,2.06,1.63,0.50,1.86,1.77,1.50,1.64,2.05,2.40,0,0
53,2.53,2.24,3.80,3.25,2.74,0.50,2.02,1.65,0.50,1.83,1.80,1.50,1.60,2.10,2.37,0,0
54,2.56,2.26,3.65,3.30,2.76,0.50,1.98,1.68,0.50,1.80,1.83,1.50,1.57,2.17,2.33,0,0
55,2.58,2.29,3.50,3.30,2.79,0.50,1.94,1.71,0.50,1.77,1.86,1.50,1.54,2.23,2.30,0,0
56,2.61,2.31,3.40,3.35,2.82,0.50,1.90,1.73,0.50,1.74,1.90,1.50,1.51,2.30,2.27,0,0
57,2.64,2.34,3.30,3.35,2.84,0.50,1.87,1.76,0.50,1.71,1.93,1.50,1.48,2.37,2.23,0,0
58,2.67,2.37,3.20,3.40,2.88,0.50,1.83,1.80,0.50,1.69,1.97,1.50,1.46,2.45,2.20,0,0
59,2.71,2.40,3.10,3.45,2.90,0.50,1.80,1.83,0.50,1.66,2.01,1.50,1.43,2.54,2.17,0,0
60,2.91,2.57,3.25,3.68,3.10,0.50,1.76,1.87,0.50,1.63,2.05,1.50,1.40,2.62,2.24,0,0
61,2.78,2.47,2.94,3.50,2.99,0.50,1.73,1.91,0.50,1.61,2.10,1.50,1.38,2.72,2.10,0,0
62,2.82,2.51,2.85,3.55,3.00,0.50,1.70,1.95,0.50,1.58,2.14,1.50,1.35,2.82,2.07,0,0
63,2.87,2.55,2.76,3.60,3.05,0.50,1.67,1.99,0.50,1.56,2.19,1.50,1.33,2.93,2.03,0,0
64,2.91,2.59,2.68,3.65,3.10,0.50,1.64,2.04,0.50,1.53,2.24,1.50,1.30,3.00,2.00,0,0
65,2.97,2.64,2.58,3.70,3.15,0.50,1.61,2.10,0.50,1.51,2.31,0.50,2.58,1.41,1.96,0,0
66,2.78,2.70,2.68,3.30,3.20,0.50,1.58,2.15,0.50,1.55,2.20,0.50,2.68,1.39,2.06,0,0
67,2.83,2.75,2.59,3.40,3.25,0.50,1.55,2.21,0.50,1.53,2.26,0.50,2.59,1.41,2.02,0,0
68,2.88,2.80,2.51,3.45,3.30,0.50,1.52,2.27,0.50,1.50,2.32,0.50,2.51,1.44,1.98,0,0
69,2.93,2.85,2.42,3.50,3.35,0.50,1.50,2.33,0.50,1.48,2.38,0.50,2.42,1.47,1.94,0,0
70,3.00,2.92,2.33,3.55,3.40,0.50,1.47,2.40,0.50,1.45,2.46,0.50,2.33,1.50,1.90,0,0
71,3.05,2.98,2.25,3.65,3.50,0.50,1.45,2.48,0.50,1.43,2.53,0.50,2.25,1.53,1.86,0,0
72,3.10,3.05,2.16,3.70,3.60,0.50,1.42,2.56,0.50,1.40,2.62,0.50,2.16,1.57,1.82,0,0
73,3.20,3.10,2.09,3.80,3.70,0.50,1.40,2.64,0.50,1.38,2.70,0.50,2.09,1.61,1.78,0,0
74,3.30,3.20,2.01,3.90,3.75,0.50,1.37,2.73,0.50,1.36,2.79,0.50,2.01,1.66,1.74,0,0
75,3.40,3.30,1.94,4.05,3.85,0.50,1.35,2.83,0.50,1.33,2.90,0.50,1.94,1.71,1.70,0,0
76,3.50,3.40,1.85,4.20,4.00,0.50,1.32,2.96,0.50,1.30,3.00,0.50,1.85,1.78,1.65,0,0
77,3.60,3.50,1.79,4.30,4.15,0.50,1.29,3.05,0.50,1.28,3.10,0.50,1.79,1.84,1.61,0,0
78,3.75,3.65,1.72,4.40,4.30,0.50,1.27,3.20,0.50,1.26,3.25,0.50,1.72,1.92,1.57,0,0
79,3.90,3.80,1.66,4.60,4.45,0.50,1.24,3.35,0.50,1.23,3.40,0.50,1.66,2.00,1.53,0,0
80,4.50,4.37,1.69,5.05,4.89,0.50,1.22,3.50,0.50,1.21,3.60,0.50,1.60,2.10,1.56,0,0
81,4.30,4.20,1.55,5.00,4.85,0.50,1.19,3.70,0.50,1.18,3.80,0.50,1.55,2.21,1.45,0,0
82,4.55,4.40,1.49,5.00,5.00,0.50,1.17,3.95,0.50,1.16,4.05,0.50,1.49,2.34,1.41,0,0
83,4.80,4.70,1.44,5.50,5.00,0.50,1.14,4.20,0.50,1.13,4.35,0.50,1.44,2.48,1.37,0,0
84,5.00,5.00,1.40,5.50,5.50,0.50,1.12,4.55,0.50,1.11,4.65,0.50,1.40,2.65,1.33,0,0
85,5.00,5.00,1.35,6.00,6.00,0.50,1.10,4.90,0.50,1.09,5.00,0.50,1.35,2.84,1.29,0,0
86,6.00,5.50,1.30,6.50,6.50,0.50,1.08,5.00,0.50,1.07,5.00,0.50,1.30,3.05,1.26,0,0
87,6.50,6.00,1.25,7.00,7.00,0.50,1.06,6.00,0.50,1.05,6.00,0.50,1.25,3.35,1.22,0,0
88,7.00,7.00,1.20,1.03,116,0.50,1.04,6.50,1.50,1.04,6.50,1.50,1.20,3.70,8.50,0,1
89,7.00,7.00,1.20,1.02,146,1,1,1,1,1,1,1,1,1,9.50,0,1
90,7.00,7.00,1.20,1.02,146,1,1,1,1,1,1,1,1,1,9.50,0,1
